Designator,Mid X,Mid Y,Layer,Rotation
"Q1",133.652500,-79.375000,"top",180.000000
"Q2",133.652500,-75.565000,"top",180.000000
"Q3",133.652500,-86.995000,"top",180.000000
"Q4",133.652500,-83.185000,"top",180.000000
"Q5",144.780000,-86.995000,"top",0.000000
"Q6",144.780000,-83.185000,"top",0.000000
"Q7",144.780000,-79.375000,"top",0.000000
"Q8",144.780000,-75.565000,"top",0.000000
"R1",130.300000,-85.725000,"top",180.000000
"R2",130.300000,-83.185000,"top",180.000000
"R3",130.300000,-86.995000,"top",180.000000
"R4",136.525000,-84.330000,"top",90.000000
"R5",136.525000,-87.755000,"top",-90.000000
"R6",130.300000,-84.455000,"top",180.000000
"R7",130.300000,-88.265000,"top",180.000000
"R8",147.955000,-85.725000,"top",180.000000
"R9",147.955000,-84.455000,"top",180.000000
"R10",147.955000,-81.280000,"top",180.000000
"R11",147.955000,-83.185000,"top",180.000000
"R12",147.955000,-80.010000,"top",180.000000
"R13",147.955000,-77.470000,"top",180.000000
