Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","S9013 J3","SOT-23",133.652500,-79.375000,180.000000,top
"Q2","S9013 J3","SOT-23",133.652500,-75.565000,180.000000,top
"Q3","S9015","SOT-23",133.652500,-86.995000,180.000000,top
"Q4","S9013 J3","SOT-23",133.652500,-83.185000,180.000000,top
"Q5","S9013 J3","SOT-23",144.780000,-86.995000,0.000000,top
"Q6","S9013 J3","SOT-23",144.780000,-83.185000,0.000000,top
"Q7","S9013 J3","SOT-23",144.780000,-79.375000,0.000000,top
"Q8","S9013 J3","SOT-23",144.780000,-75.565000,0.000000,top
"R1","10k","R_0402_1005Metric",130.300000,-85.725000,180.000000,top
"R2","10k","R_0402_1005Metric",130.300000,-83.185000,180.000000,top
"R3","15k","R_0402_1005Metric",130.300000,-86.995000,180.000000,top
"R4","39k","R_0402_1005Metric",136.525000,-84.330000,90.000000,top
"R5","100","R_0402_1005Metric",136.525000,-87.755000,-90.000000,top
"R6","10k","R_0402_1005Metric",130.300000,-84.455000,180.000000,top
"R7","39k","R_0402_1005Metric",130.300000,-88.265000,180.000000,top
"R8","10k","R_0402_1005Metric",147.955000,-85.725000,180.000000,top
"R9","39k","R_0402_1005Metric",147.955000,-84.455000,180.000000,top
"R10","39k","R_0402_1005Metric",147.955000,-81.280000,180.000000,top
"R11","10k","R_0402_1005Metric",147.955000,-83.185000,180.000000,top
"R12","39k","R_0402_1005Metric",147.955000,-80.010000,180.000000,top
"R13","39k","R_0402_1005Metric",147.955000,-77.470000,180.000000,top
